Belgium_Confirmed,Belgium_Deaths,Canada_Confirmed,Canada_Deaths,China_Confirmed,China_Deaths,Finland_Confirmed,Finland_Deaths,France_Confirmed,France_Deaths,Germany_Confirmed,Germany_Deaths,Italy_Confirmed,Italy_Deaths,Spain_Confirmed,Spain_Deaths,Sweden_Confirmed,Sweden_Deaths,United Kingdom_Confirmed,United Kingdom_Deaths,US_Confirmed,US_Deaths,CE_Confirmed,CE_Deaths
22194,2035,6280,64,81661,3285,1446,17,33402,1997,66885,645,119827,14681,126168,11947,6131,358,38689,4467,65844,1320,2108,107
23403,2240,7398,80,81782,3291,1518,19,38105,2317,71808,775,124632,15362,131646,12641,6443,373,42477,5228,83836,1726,1749,108
24983,2523,8527,101,81897,3296,1615,20,40708,2611,77872,920,128948,15887,136675,13341,6830,401,48436,5874,101962,2269,2448,44
26667,3019,9560,109,81999,3299,1882,25,45170,3030,84794,1107,132547,16523,141942,14045,7206,477,52279,6445,121786,2744,853,261
28018,3346,11284,139,82122,3304,1927,28,52827,3532,91159,1275,135586,17127,148220,14792,7693,591,55949,7483,140910,3420,3160,90
29647,3600,12437,179,82198,3308,2176,27,57749,4414,96092,1444,139422,17669,153222,15447,8419,687,61474,8519,162147,4196,549,57
30589,3903,12978,218,82279,3309,2308,34,59929,5398,100123,1584,143626,18279,158273,16081,9141,793,65872,9623,188172,5367,473,16
31119,4157,15756,259,82361,3316,2487,40,65202,6520,103374,1810,147577,18849,163027,16606,9685,870,74605,10776,213602,6511,590,169
33573,4440,16563,339,82432,3322,2605,42,69500,7574,107663,2016,152271,19468,166831,17209,10151,887,79874,11616,244008,7938,836,110
34809,4857,17872,375,82511,3326,2769,48,71412,8093,113296,2349,156363,19899,170099,17756,10483,899,85206,12302,275798,9260,254,68
36138,5163,19141,407,82543,3330,2905,49,75343,8926,118181,2607,159516,20465,172541,18056,10948,919,89570,13047,309027,10870,546,62
37183,5453,20654,503,82602,3333,2974,56,79163,10343,122171,2767,162488,21067,177644,18708,11445,1033,94845,14095,336802,12375,574,126
