Belgium_Confirmed,Belgium_Deaths,Canada_Confirmed,Canada_Deaths,China_Confirmed,China_Deaths,Finland_Confirmed,Finland_Deaths,France_Confirmed,France_Deaths,Germany_Confirmed,Germany_Deaths,Italy_Confirmed,Italy_Deaths,Spain_Confirmed,Spain_Deaths,Sweden_Confirmed,Sweden_Deaths,United Kingdom_Confirmed,United Kingdom_Deaths,US_Confirmed,US_Deaths,SP_Confirmed,SP_Deaths
1422,132,461,4,55,6,126,2,3880,186,6615,61,4050,812,7967,748,328,36,2673,374,6326,92,260,0
1661,140,791,8,130,15,73,2,2499,240,6933,75,4053,837,8195,923,407,34,3028,383,7680,145,1092,0
1260,164,640,16,63,0,112,2,2978,231,6824,91,4782,727,7947,961,512,59,4384,671,10582,199,0,0
1123,185,894,7,93,7,66,4,3951,365,4400,100,4668,760,7134,850,621,69,4308,652,10063,225,270,92
1380,403,704,3,70,4,28,0,3851,299,4790,112,4585,766,6969,749,563,50,4516,715,11919,309,1364,99
1209,205,1118,16,121,6,72,2,4703,320,4923,130,4805,681,5478,694,312,15,3788,761,17992,406,0,0
1580,283,1129,21,115,5,97,1,2603,294,6064,145,4316,525,5029,700,387,28,5959,646,18126,543,423,0
1684,496,1033,8,102,3,267,5,4462,419,6922,187,3599,636,5267,704,376,76,3843,571,19824,475,0,8
1351,327,1724,30,123,5,45,3,7657,502,6365,168,3039,604,6278,747,487,114,3670,1038,19124,676,0,0
1629,254,1153,40,76,4,249,0,4922,882,4933,169,3836,542,5002,655,726,96,5525,1036,21237,776,0,0
942,303,541,39,81,1,132,7,2180,984,4031,140,4204,610,5051,634,722,106,4398,1104,26025,1171,0,0
530,254,2778,41,82,7,179,6,5273,1122,3251,226,3951,570,4754,525,544,77,8733,1153,25430,1144,1451,170
2454,283,807,80,71,6,118,2,4298,1054,4289,206,4694,619,3804,603,466,17,5269,840,30406,1427,1934,0
1236,417,1309,36,79,4,164,6,1912,519,5633,333,4092,431,3268,547,332,12,5332,686,31790,1322,0,0
1329,306,1269,32,32,4,136,1,3931,833,4885,258,3153,566,2442,300,465,20,4364,745,33229,1610,0,49
1045,290,1513,96,59,3,69,7,3820,1417,3990,160,2972,602,5103,652,497,114,5275,1048,27775,1505,679,0
1313,230,1405,54,63,2,90,3,3894,544,2737,0,2667,578,7304,607,482,170,4638,846,29515,1519,0,0
1487,145,1257,97,53,0,97,5,4309,1341,2946,286,3786,525,5891,687,613,130,4662,1033,30804,2297,0,0
973,170,983,60,91,2,76,8,4372,987,2218,172,3493,575,887,41,676,67,5624,936,31533,2079,901,172
933,264,1381,67,74,2,132,3,3125,636,1287,100,3491,482,6948,410,606,111,5545,1118,34673,2018,1790,0
908,228,1355,120,58,1,120,7,26849,561,3394,510,3047,433,1536,399,563,29,5858,499,33519,2069,0,28
1496,189,1174,107,73,3,192,8,3682,574,2945,248,2256,454,3968,430,392,40,4684,565,29930,2009,903,0
1032,238,2600,251,120,0,102,4,4971,745,3699,300,2729,534,4211,435,545,185,4316,1172,28537,1720,0,1
809,177,2005,97,79,2,85,4,3220,1438,1945,107,3370,437,4635,440,682,172,4466,847,25311,1784,0,0
553,113,1542,45,93,0,146,43,12490,753,1842,127,2646,464,0,367,751,84,4608,729,27046,2392,0,0
647,124,1277,164,50,1,115,8,2009,761,1881,276,3021,420,2915,378,812,131,5394,1013,29004,2498,2208,283
525,170,2025,162,47,0,155,23,2,642,1226,171,2357,415,1729,288,610,40,4929,844,31307,2084,935,0
660,93,1744,183,357,1290,111,5,4925,395,2357,246,2324,260,1831,331,463,2,4468,420,32081,2584,16,0
513,109,2261,168,27,0,80,9,2382,547,2481,296,1739,333,1308,301,286,80,4311,341,32528,2347,0,20
485,62,1636,163,18,0,101,4,2775,531,1870,185,2091,382,2144,453,695,81,4002,911,26219,1170,555,57
389,79,1620,161,12,0,119,3,0,544,1514,117,2086,323,518,268,681,107,4091,797,25899,1741,0,0
361,80,1452,169,36,0,45,6,2323,516,1257,99,1872,285,1781,0,790,124,6040,676,27157,2400,0,0
242,92,1662,116,15,0,166,7,1649,390,988,150,1965,269,1366,557,428,67,6204,741,28486,2326,928,146
272,323,1583,154,16,0,89,5,1692,369,1154,188,1900,474,884,164,562,16,4815,622,28819,2312,1074,86
639,76,1534,142,15,0,56,7,576,242,1627,153,1389,174,545,164,235,10,4342,315,36188,1769,2916,0
591,106,1715,172,10,0,125,2,3743,437,1470,156,1221,195,1318,185,404,90,3990,289,32796,2262,0,27
585,60,1592,155,3,1,78,10,3090,367,1068,113,1075,236,996,244,495,85,4411,692,27631,1126,0,0
485,75,1886,227,6,0,73,10,0,427,890,76,1444,369,1122,213,702,87,6116,649,22412,1338,0,0
368,51,1583,147,22,0,85,6,756,289,697,54,1401,274,1410,229,705,99,5618,539,24385,2136,0,0
330,54,2578,111,4,0,161,6,6,218,488,127,1327,243,721,179,642,135,4652,627,27327,2612,5401,275
202,82,1453,208,12,0,100,3,1213,166,855,0,1083,194,772,143,656,45,3896,346,29515,2029,0,0
307,60,1258,187,3,0,65,5,407,137,1155,282,802,165,3086,123,401,5,3924,268,34037,1947,,
356,56,1479,176,0,0,142,5,658,304,1268,117,744,179,594,176,348,31,3883,211,29078,1426,,
345,46,1507,175,5,0,82,2,1104,333,1158,118,1402,172,661,184,602,57,3409,628,25501,1313,,
291,47,1473,156,2,0,22,4,3537,275,736,39,888,195,849,217,637,147,3244,495,22335,1240,,
279,28,1244,126,2,0,19,4,694,178,555,20,992,262,643,138,673,69,3455,429,23976,2142,,
232,28,1173,168,2,0,51,9,1284,243,697,92,789,242,515,104,625,117,3564,385,24980,2391,,
192,42,1173,124,5,0,91,3,580,80,595,77,875,153,0,0,470,28,3457,468,27692,2207,,
252,36,1155,185,1,0,83,6,312,70,927,123,675,145,908,146,466,5,3534,170,26906,1518,,
276,26,1149,125,14,0,58,4,453,263,380,23,451,99,431,69,234,19,2714,160,25621,1615,,
299,25,1213,167,20,0,61,1,802,348,755,13,813,162,518,110,422,45,2429,546,19710,731,,
282,43,1178,87,1,0,33,2,0,83,519,41,665,161,482,52,724,88,0,364,18621,1156,,
250,32,1247,121,7,0,19,1,810,351,617,24,642,156,1787,688,649,40,2627,338,21495,1674,,
113,22,1126,103,6,0,44,3,636,104,182,41,652,130,466,50,637,54,3298,351,21030,1763,,
137,30,1079,57,5,0,50,2,0,0,1227,78,669,119,482,74,379,67,2960,282,27368,1779,,
257,24,1082,68,9,0,44,0,63,579,695,63,531,50,0,0,271,6,2412,118,25050,1632,,
212,42,1082,122,6,1,31,0,358,131,548,59,300,92,859,283,384,31,1631,121,24996,1224,,
125,23,1167,117,10,0,11,1,882,0,689,25,397,78,0,0,597,96,4052,134,18937,808,,
195,14,1205,93,9,0,20,1,767,110,276,33,584,117,1647,2,648,95,2020,412,21551,785,,
136,19,1204,106,0,0,29,4,251,83,342,22,593,70,658,2,639,46,1889,377,20260,1574,,
98,19,955,68,0,0,64,1,403,74,272,26,516,87,664,4,749,84,2099,324,23285,1518,,
